"Code","ShortDescription","LongDescription","isBasicLevel","AggregateLevel","parentCode"
"4812","Filter blocks, slabs and plates, of paper pulp.","Filter blocks, slabs and plates, of paper pulp.",0,4,"48"
"481200","Filter blocks, slabs & plates, of paper pulp","Filter blocks, slabs & plates, of paper pulp",1,6,"4812"
"4813","Cigarette paper, whether or not cut to size or in the form of booklets or t ...","Cigarette paper, whether or not cut to size or in the form of booklets or tubes.",0,4,"48"
"481310","Cigarette paper, in the form of booklets/tubes","Cigarette paper, in the form of booklets/tubes",1,6,"4813"
"481320","Cigarette paper, in rolls of a width not >5cm","Cigarette paper, in rolls of a width not >5cm",1,6,"4813"
"481390","Cigarette paper (excl. of 4813.10 & 4813.20)","Cigarette paper (excl. of 4813.10 & 4813.20)",1,6,"4813"
"4814","Wallpaper and similar wall coverings; window transparencies of paper.","Wallpaper and similar wall coverings; window transparencies of paper.",0,4,"48"
"481410","Ingrain paper","Ingrain paper",1,6,"4814"
"481420","Wallpaper & sim. wall coverings, consisting of paper coated/covered, on the ...","Wallpaper & sim. wall coverings, consisting of paper coated/covered, on the face side, with a grained/embossed/coloured/design-printed/othw. decorated layer of plastics",1,6,"4814"
"481430","Wallpaper & sim. wall coverings, consisting of paper covered, on the face s ...","Wallpaper & sim. wall coverings, consisting of paper covered, on the face side, with plaiting mat., whether or not bound together in parallel strands/woven",1,6,"4814"
"481490","Wallpaper & sim. wall coverings (excl. of 4814.10-4814.30); window transpar ...","Wallpaper & sim. wall coverings (excl. of 4814.10-4814.30); window transparencies of paper",1,6,"4814"
"4815","Floor coverings on a base of paper or of paperboard, whether or not cut to  ...","Floor coverings on a base of paper or of paperboard, whether or not cut to size.",0,4,"48"
"481500","Floor coverings on a base of paper/paperboard, whether or not cut to size","Floor coverings on a base of paper/paperboard, whether or not cut to size",1,6,"4815"
"4816","Carbon paper, self-copy paper and other copying or transfer papers","Carbon paper, self-copy paper and other copying or transfer papers (other than those of heading 48.09), duplicator stencils and offset plates, of paper, whether or not put up in boxes.",0,4,"48"
"481610","Carbon/sim. copying papers (excl. of 4809.10), whether or not put up in box ...","Carbon/sim. copying papers (excl. of 4809.10), whether or not put up in boxes",1,6,"4816"
"481620","Self-copy paper, whether or not put up in boxes","Self-copy paper, whether or not put up in boxes",1,6,"4816"
"481630","Duplicator stencils, whether or not put up in boxes","Duplicator stencils, whether or not put up in boxes",1,6,"4816"
"481690","Copying/transfer papers (excl. carbon paper/self-copy paper/papers of 48.09 ...","Copying/transfer papers (excl. carbon paper/self-copy paper/papers of 48.09) & offset plates, of paper, whether or not put up in boxes",1,6,"4816"
"4817","Envelopes, letter cards, plain postcards and correspondence cards, of paper ...","Envelopes, letter cards, plain postcards and correspondence cards, of paper or paperboard; boxes, pouches, wallets and writing compendiums, of paper or paperboard, containing an assortment of paper stationery.",0,4,"48"
"481710","Envelopes, of paper/paperboard","Envelopes, of paper/paperboard",1,6,"4817"
"481720","Letter cards, plain postcards & correspondence cards, of paper/paperboard","Letter cards, plain postcards & correspondence cards, of paper/paperboard",1,6,"4817"
"481730","Boxes, pouches, wallets & writing compendiums, of paper/paperboard, cont. a ...","Boxes, pouches, wallets & writing compendiums, of paper/paperboard, cont. an assortment of paper stationery",1,6,"4817"
"4818","Toilet paper and similar paper, cellulose wadding or webs of cellulose fibr ...","Toilet paper and similar paper, cellulose wadding or webs of cellulose fibres, of a kind used for household or sanitary purposes, in rolls of a width not exceeding 36 cm, or cut to size or shape; handkerchiefs, cleansing tissues, towels, tablecloths, serviettes, napkins for babies, tampons, bed sheets and similar household, sanitary or hospital articles, articles of apparel and clothing accessories, of paper pulp, paper, cellulose wadding or webs of cellulose fibres.",0,4,"48"
"481810","Toilet paper, in rolls of a width not >36cm/cut to size/shape","Toilet paper, in rolls of a width not >36cm/cut to size/shape",1,6,"4818"
"481820","Handkerchiefs, cleansing/facial tissues & towels, of paper pulp/paper/cellu ...","Handkerchiefs, cleansing/facial tissues & towels, of paper pulp/paper/cellulose wadding/webs of cellulose fibres",1,6,"4818"
"481830","Tablecloths & serviettes, of paper pulp/paper/cellulose wadding/webs of cel ...","Tablecloths & serviettes, of paper pulp/paper/cellulose wadding/webs of cellulose fibres",1,6,"4818"
"481840","Sanitary towels & tampons, napkins & napkin liners for babies & sim. sanita ...","Sanitary towels & tampons, napkins & napkin liners for babies & sim. sanitary arts., of paper pulp/paper/cellulose wadding/webs of cellulose fibres",1,6,"4818"
"481850","Articles of apparel & clothing accessories, of paper pulp/paper/cellulose w ...","Articles of apparel & clothing accessories, of paper pulp/paper/cellulose wadding/webs of cellulose fibres",1,6,"4818"
"481890","Paper of a kind used for h-hold./sanitary purps., bed sheets & sim. h-hold. ...","Paper of a kind used for h-hold./sanitary purps., bed sheets & sim. h-hold./sanitary/hospital arts., of paper pulp/paper/cellulose wadding/webs of cellulose fibres, n.e.s.",1,6,"4818"
"4819","Cartons, boxes, cases, bags and other packing containers, of paper","Cartons, boxes, cases, bags and other packing containers, of paper, paperboard, cellulose wadding or webs of cellulose fibres; box files, letter trays, and similar articles, of paper or paperboard of a kind used in offices, shops or the like.",0,4,"48"
"481910","Cartons, boxes & cases, of corrugated paper/paperboard","Cartons, boxes & cases, of corrugated paper/paperboard",1,6,"4819"
"481920","Folding cartons, boxes & cases, of non-corrugated paper/paperboard","Folding cartons, boxes & cases, of non-corrugated paper/paperboard",1,6,"4819"
"481930","Sacks & bags, having a base of a width of 40cm/more","Sacks & bags, having a base of a width of 40cm/more",1,6,"4819"
"481940","Sacks & bags (excl. those having a base of a width of 40cm/more), incl. con ...","Sacks & bags (excl. those having a base of a width of 40cm/more), incl. cones",1,6,"4819"
"481950","Packing conts. of paper/paperboard/cellulose wadding/webs of cellulose fibr ...","Packing conts. of paper/paperboard/cellulose wadding/webs of cellulose fibres (excl. of 4819.10-4819.40), incl. record sleeves",1,6,"4819"
"481960","Box files, letter trays, storage boxes & sim. arts., of a kind used in offi ...","Box files, letter trays, storage boxes & sim. arts., of a kind used in offices/shops or the like",1,6,"4819"
"4820","Registers, account books, note books, order books, receipt books","Registers, account books, note books, order books, receipt books, letter pads, memorandum pads, diaries and similar articles, exercise books, blotting-pads, binders (loose-leaf or other), folders, file covers, manifold business forms, interleaved carbon sets and other articles of stationery, of paper or paperboard; albums for samples or for collections and book covers, of paper or paperboard.",0,4,"48"
"482010","Registers, account books, notebooks, order books, receipt books, letter pad ...","Registers, account books, notebooks, order books, receipt books, letter pads, memorandum pads, diaries & sim. arts., of paper/paperboard",1,6,"4820"
"482020","Exercise books of paper/paperboard","Exercise books of paper/paperboard",1,6,"4820"
"482030","Binders (excl. book covers), folders & file covers, of paper/paperboard","Binders (excl. book covers), folders & file covers, of paper/paperboard",1,6,"4820"
"482040","Manifold business forms & interleaved carbon sets, of paper/paperboard","Manifold business forms & interleaved carbon sets, of paper/paperboard",1,6,"4820"
"482050","Albums for samples/collections of paper/paperboard","Albums for samples/collections of paper/paperboard",1,6,"4820"
"482090","Blotting-pads, binders (loose-leaf/oth.),book covers & oth. arts. of statio ...","Blotting-pads, binders (loose-leaf/oth.),book covers & oth. arts. of stationery, n.e.s., of paper/paperboard",1,6,"4820"
"4821","Paper or paperboard lables of all kinds, whether or not printed.","Paper or paperboard lables of all kinds, whether or not printed.",0,4,"48"
"482110","Paper/paperboard labels of all kinds, printed","Paper/paperboard labels of all kinds, printed",1,6,"4821"
"482190","Paper/paperboard labels of all kinds, not printed","Paper/paperboard labels of all kinds, not printed",1,6,"4821"
"4822","Bobbins, spools, cops and similar supports of paper pulp, paper or paperboa ...","Bobbins, spools, cops and similar supports of paper pulp, paper or paperboard (whether or not perforated or hardened).",0,4,"48"
"482210","Bobbins, spools, cops & sim. supports of paper pulp/paper/paperboard (wheth ...","Bobbins, spools, cops & sim. supports of paper pulp/paper/paperboard (whether or not perforated/hardened), of a kind used for winding textile yarn",1,6,"4822"
"482290","Bobbins, spools, cops & sim. supports of paper pulp/paper/paperboard (wheth ...","Bobbins, spools, cops & sim. supports of paper pulp/paper/paperboard (whether or not perforated/hardened), n.e.s. (excl. of 4822.10)",1,6,"4822"
"4823","Other paper, paperboard, cellulose wadding and webs of cellulose fibres","Other paper, paperboard, cellulose wadding and webs of cellulose fibres, cut to size or shape; other articles of paper pulp, paper, paperboard, cellulose wadding or webs of cellulose fibres.",0,4,"48"
"482312","Gummed/adhesive paper, in strips/rolls, self-adhesive","Gummed/adhesive paper, in strips/rolls, self-adhesive",1,6,"4823"
"482319","Gummed/adhesive paper, in strips/rolls, other than self-adhesive","Gummed/adhesive paper, in strips/rolls, other than self-adhesive",1,6,"4823"
"482320","Filter paper & paperboard, cut to size/shape","Filter paper & paperboard, cut to size/shape",1,6,"4823"
"482340","Rolls, sheets & dials, printed for self-recording app.","Rolls, sheets & dials, printed for self-recording app.",1,6,"4823"
"482360","Trays, dishes, plates, cups and the like, of paper/paperboard","Trays, dishes, plates, cups and the like, of paper/paperboard",1,6,"4823"
"482370","Moulded/pressed arts. of paper pulp","Moulded/pressed arts. of paper pulp",1,6,"4823"
"482390","Paper, paperboard, cellulose wadding & webs of cellulose fibres, cut to siz ...","Paper, paperboard, cellulose wadding & webs of cellulose fibres, cut to size/shape; oth.arts.of paper pulp/paper/paperboard/cellulose wadding/webs of cellulose fibres, n.e.s.",1,6,"4823"
"49","Printed books, newspapers, pictures and other products of the printing indu ...","Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",0,2,"TOTAL"
"4901","Printed books, brochures, leaflets and similar printed matter","Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets.",0,4,"49"
"490110","Printed books, brochures, leaflets & sim. printed matter, in single sheets, ...","Printed books, brochures, leaflets & sim. printed matter, in single sheets, whether or not folded",1,6,"4901"
"490191","Dictionaries & encyclopaedias, & serial instalments thereof","Dictionaries & encyclopaedias, & serial instalments thereof",1,6,"4901"
"490199","Printed books, brochures, leaflets & sim. printed matter (excl. dictionarie ...","Printed books, brochures, leaflets & sim. printed matter (excl. dictionaries & encyclopaedias, & serial instalments thereof ), other than those in single sheets",1,6,"4901"
"4902","Newspapers, journals and periodicals","Newspapers, journals and periodicals, whether or not illustrated or containing advertising material.",0,4,"49"
"490210","Newspapers, journals & periodicals, whether or not illustrated/cont. advert ...","Newspapers, journals & periodicals, whether or not illustrated/cont. advertising mat., appearing at least 4 times a week",1,6,"4902"
